epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9505,3.08717,3.88045,0.92936,0.01247,0.23218,0.00978,0.00387,2.1337,5.47103,0.74793,0.000652778,0.000652778,0.000652778
2,98.7314,2.79117,2.66247,0.85804,0.69781,0.61048,0.55846,0.20228,2.09182,3.5699,0.72803,0.00130638,0.00130638,0.00130638
3,148.147,2.56792,2.2764,0.85161,0.76812,0.51276,0.61229,0.18302,2.24824,2.83062,0.73288,0.00194679,0.00194679,0.00194679
4,197.582,2.4701,1.94324,0.84756,0.79948,0.7249,0.77252,0.27371,1.95269,2.63485,0.71676,0.0019406,0.0019406,0.0019406
5,245.826,2.46332,1.63064,0.83884,0.81149,0.7433,0.80035,0.26954,2.03014,1.90869,0.72753,0.0019208,0.0019208,0.0019208
6,293.906,2.25217,2.18715,0.82434,0.73762,0.69583,0.68628,0.19619,2.19461,2.17702,0.73686,0.001901,0.001901,0.001901
7,345.04,2.27213,1.70466,0.8352,0.83245,0.75761,0.80663,0.30078,1.88869,1.46802,0.71762,0.0018812,0.0018812,0.0018812
8,394.244,2.36084,1.30352,0.83455,0.86344,0.80428,0.86411,0.34174,1.84095,1.21443,0.72027,0.0018614,0.0018614,0.0018614
9,442.187,2.287,1.2234,0.83161,0.81269,0.80458,0.83207,0.29644,1.92612,1.26978,0.71625,0.0018416,0.0018416,0.0018416
10,491.806,2.34002,1.25185,0.83016,0.84777,0.81082,0.85418,0.24986,2.05682,1.3979,0.73002,0.0018218,0.0018218,0.0018218
11,541.39,2.13221,1.0996,0.82704,0.78725,0.82229,0.85839,0.37149,1.71919,1.14059,0.71118,0.001802,0.001802,0.001802
12,590.349,2.14314,1.18103,0.81818,0.90744,0.81136,0.88463,0.37403,1.77461,1.10631,0.72045,0.0017822,0.0017822,0.0017822
13,639.224,2.09157,1.09477,0.81659,0.86887,0.80843,0.88513,0.40553,1.61372,1.01656,0.7083,0.0017624,0.0017624,0.0017624
14,688.433,2.06524,1.20393,0.79447,0.83522,0.78774,0.86613,0.37849,1.66024,1.13542,0.70793,0.0017426,0.0017426,0.0017426
15,738.309,2.08721,1.31042,0.81576,0.82664,0.85501,0.89702,0.40051,1.64061,1.08687,0.70882,0.0017228,0.0017228,0.0017228
16,788.028,2.06104,1.14625,0.81375,0.8389,0.76613,0.85396,0.30072,1.97795,1.0766,0.72657,0.001703,0.001703,0.001703
